src trg nij
0 12 18
3 12 42
15 37 74
16 37 41
24 37 119
25 37 105
33 37 92
35 37 34
36 37 34
12 48 27
19 48 49
22 48 36
41 48 35
43 48 45
10 50 25
12 50 31
31 50 44
60 132 36
113 132 14
127 132 62
130 132 33
131 132 42
5 142 95
30 142 60
34 142 121
35 142 74
126 142 53
131 142 117
133 142 107
25 227 148
37 227 170
44 227 105
225 227 123
71 238 80
76 238 38
80 238 64
134 238 27
137 238 27
23 275 72
92 275 43
100 275 54
187 275 280
253 275 37
258 275 60
48 278 45
100 278 46
130 278 61
187 278 93
275 278 318
44 305 246
165 305 111
242 305 124
256 305 41
289 305 47
12 315 121
306 315 103
314 315 32
201 329 111
0 369 63
9 369 58
76 369 35
295 369 62
308 369 70
353 369 40
156 371 56
251 371 51
306 371 79
318 371 63
367 371 119
41 387 120
53 387 54
64 387 37
94 387 278
98 387 99
106 387 46
115 387 52
119 387 51
243 387 54
245 387 191
290 387 54
303 387 40
356 387 85
367 390 370
377 390 270
382 390 148
385 390 208
386 390 177
278 392 32
355 392 17
384 392 53
119 395 40
369 395 111
372 395 59
375 395 131
379 395 285
384 395 131
75 396 57
128 396 38
129 396 61
304 396 135
313 396 37
367 396 216
376 396 154
378 396 158
385 396 142
386 396 168
156 397 49
249 397 47
367 397 232
369 397 129
378 397 131
385 397 149
396 397 233
9 406 40
188 406 40
286 406 42
356 406 37
372 406 64
404 406 33
147 411 33
355 411 32
364 411 33
369 411 165
392 411 107
395 411 293
399 411 201
403 411 102
67 414 70
293 414 69
308 414 68
312 414 70
369 414 228
379 414 202
395 414 252
399 414 209
411 414 117
0 415 84
278 415 30
355 415 36
369 415 77
399 415 96
411 415 165
414 415 155
59 421 46
369 421 218
399 421 283
403 421 103
414 421 408
415 421 250
416 421 228
369 423 131
411 423 203
367 428 140
377 428 282
145 431 90
375 431 187
397 431 401
427 431 154
367 432 272
385 432 345
392 445 141
403 445 64
418 445 16
423 445 131
367 448 352
385 448 408
386 448 172
396 448 267
427 448 215
431 448 150
442 448 203
12 450 65
71 450 36
89 450 24
134 450 105
240 450 32
273 450 78
117 451 47
251 451 46
403 451 113
414 451 166
415 451 118
423 451 141
361 452 24
398 452 262
432 452 425
442 452 290
379 458 317
399 458 86
411 458 138
416 458 130
423 458 175
445 458 112
451 458 110
367 459 163
433 459 77
458 459 212
59 461 16
385 461 160
398 461 171
442 461 221
38 467 47
369 467 273
372 467 73
379 467 183
399 467 89
411 467 131
414 467 133
415 467 119
421 467 284
424 467 138
244 474 299
365 474 171
366 474 243
471 474 97
153 478 32
395 486 212
411 486 223
416 486 279
423 486 307
424 486 439
458 486 173
472 486 229
170 490 127
404 490 95
422 490 199
371 497 286
428 497 273
431 497 239
447 497 203
469 497 192
483 497 308
418 501 36
451 501 120
458 501 136
459 501 316
28 504 156
80 504 101
404 504 67
405 504 79
434 504 67
435 504 104
463 504 70
20 505 42
369 505 55
396 505 56
427 505 65
502 505 62
249 507 34
392 507 226
399 507 191
421 507 340
449 507 78
475 507 193
463 510 123
477 510 215
126 517 367
222 517 111
408 517 121
421 521 317
438 521 141
