src trg w
0 12 1
0 37 1
0 48 1
12 48 1
0 50 1
12 50 3
37 50 2
48 50 1
0 132 1
12 132 1
48 132 1
50 132 4
0 142 1
37 142 1
50 142 1
12 227 5
37 227 19
48 227 2
50 227 7
142 227 2
0 238 1
37 238 1
50 238 1
0 275 1
48 275 1
50 275 2
132 275 1
48 278 1
275 278 9
37 305 3
48 305 2
50 305 3
132 305 1
142 305 1
227 305 6
12 315 6
37 315 3
142 315 2
227 315 13
12 329 4
37 329 5
48 329 4
50 329 19
132 329 4
227 329 26
305 329 12
0 369 3
12 369 1
0 371 1
37 371 1
369 371 1
0 387 1
305 387 1
329 387 2
275 390 1
371 390 6
238 392 2
278 392 2
390 392 7
369 395 4
390 395 5
390 396 9
392 396 4
369 397 4
371 397 4
390 397 7
392 397 7
396 397 7
0 406 1
371 406 1
395 406 2
397 406 2
369 411 7
392 411 9
395 411 15
369 414 6
395 414 9
411 414 5
0 415 5
278 415 1
369 415 3
392 415 4
395 415 5
411 415 9
414 415 6
369 421 7
392 421 7
395 421 7
411 421 6
414 421 13
415 421 11
369 423 7
392 423 5
395 423 9
411 423 14
414 423 3
415 423 5
421 423 6
369 428 2
397 428 3
423 428 5
371 431 3
390 431 10
392 431 6
396 431 6
397 431 13
390 432 19
396 432 8
423 432 8
431 432 5
369 445 4
392 445 15
395 445 6
411 445 8
414 445 3
423 445 12
390 448 10
392 448 5
396 448 8
397 448 4
431 448 5
432 448 12
12 450 3
142 450 1
423 450 2
411 451 4
414 451 5
415 451 5
423 451 8
278 452 3
390 452 25
395 452 12
397 452 14
423 452 17
431 452 12
432 452 57
448 452 13
369 458 3
392 458 6
411 458 8
414 458 3
415 458 5
423 458 12
445 458 9
451 458 5
369 459 9
392 459 20
395 459 28
411 459 29
421 459 18
423 459 40
445 459 29
451 459 12
452 459 31
458 459 33
390 461 14
396 461 6
397 461 7
431 461 7
432 461 21
448 461 6
452 461 41
369 467 8
395 467 7
411 467 6
414 467 4
415 467 5
421 467 10
142 474 2
305 478 5
450 478 3
395 486 11
411 486 13
421 486 9
423 486 21
458 486 10
459 486 21
396 490 2
371 497 13
390 497 14
396 497 6
397 497 9
428 497 12
431 497 11
432 497 15
448 497 7
452 497 15
369 501 8
392 501 13
445 501 14
451 501 11
458 501 14
459 501 63
406 504 2
369 505 1
392 507 18
414 507 4
421 507 15
467 507 6
390 510 11
448 510 4
459 510 15
497 510 8
37 517 7
450 517 3
478 517 4
369 521 3
421 521 10
467 521 8
507 521 9
371 524 3
390 524 8
431 524 4
392 528 6
458 528 3
459 528 9
486 528 6
505 528 1
392 531 7
411 531 6
459 531 18
486 531 7
505 531 1
369 536 12
411 536 20
458 536 10
459 536 26
467 536 10
486 536 9
501 536 14
521 536 7
531 536 8
459 541 10
467 541 4
510 541 4
536 541 4
395 564 12
445 564 15
451 564 6
458 564 10
459 564 31
501 564 38
505 564 2
369 591 8
445 591 21
451 591 8
458 591 12
459 591 57
486 591 17
505 591 3
536 591 14
541 591 11
395 595 11
414 595 5
421 595 5
536 595 7
564 595 7
392 600 32
501 600 18
528 600 5
564 600 19
390 601 30
396 601 15
397 601 16
431 601 11
432 601 32
448 601 24
452 601 40
497 601 27
510 601 10
524 601 5
390 604 23
396 604 13
431 604 10
448 604 11
452 604 21
461 604 15
505 604 2
601 604 49
390 607 24
459 607 36
461 607 19
510 607 15
601 607 41
604 607 35
395 619 23
411 619 21
459 619 59
564 619 23
305 623 14
450 623 4
478 623 6
517 623 12
459 628 27
505 628 2
531 628 5
536 628 12
591 628 17
600 628 11
390 629 29
395 629 10
431 629 13
448 629 16
452 629 50
461 629 29
604 629 27
607 629 37
397 633 14
448 633 10
452 633 40
461 633 22
490 636 10
591 692 9
601 693 17
604 693 15
607 693 23
601 694 63
604 694 37
607 694 53
629 694 65
633 694 37
423 714 9
431 714 11
452 714 22
693 714 15
507 716 10
390 718 43
431 718 17
601 718 36
694 718 33
392 719 44
423 719 39
445 719 65
451 719 19
459 719 81
501 719 66
564 719 58
600 719 28
628 719 18
415 723 6
421 723 7
467 723 6
628 723 8
693 730 12
392 737 21
458 737 26
536 737 25
591 737 33
619 737 27
628 737 29
623 739 7
369 743 13
421 743 11
507 743 9
521 743 8
421 747 12
743 747 11
451 748 13
501 748 14
507 751 6
531 751 6
607 752 17
486 764 14
619 764 39
751 764 9
623 770 17
411 771 22
595 778 5
743 778 7
369 780 7
415 780 16
421 780 20
467 780 17
507 780 13
521 780 10
743 780 14
747 780 20
421 784 9
467 784 8
521 784 5
716 784 4
780 784 8
411 787 29
528 787 7
536 787 32
737 787 28
396 788 15
432 788 26
448 788 29
604 788 37
694 788 45
628 791 14
771 791 31
411 794 19
415 794 29
421 794 33
467 794 18
521 794 18
723 794 20
743 794 14
780 794 31
784 794 17
787 794 24
432 804 53
452 804 82
461 804 73
629 804 85
633 804 61
693 804 27
694 804 86
718 804 34
788 804 35
737 810 25
452 811 51
629 811 25
693 811 11
694 811 37
804 811 76
392 812 24
507 812 34
521 812 14
716 812 14
780 812 23
787 812 43
629 814 36
694 814 54
788 814 31
693 822 15
811 822 18
531 826 3
771 826 7
142 871 1
450 871 1
478 871 2
238 960 1
275 960 1
623 963 29
0 1008 1
48 1008 1
305 1008 1
461 1008 1
132 1011 1
1008 1011 1
387 1151 3
1008 1151 1
1011 1151 1
275 1187 2
528 1187 1
636 1187 6
305 1225 5
387 1266 7
1151 1266 2
37 1302 12
227 1302 26
623 1335 11
12 1367 14
517 1367 22
963 1367 35
1335 1383 4
48 1405 1
132 1405 1
142 1405 1
1011 1405 1
517 1407 32
1367 1407 55
505 1570 2
387 1577 5
1266 1577 4
305 1588 20
963 1588 48
531 1613 1
474 1615 4
1570 1615 5
1011 1631 1
1187 1631 3
474 1655 15
1570 1655 21
1615 1655 13
1641 1683 3
963 1715 36
1335 1715 14
