src,trg,w
0,3398,1
0,3950,1
0,4847,1
0,11161,1
0,13893,1
0,14088,1
0,14114,1
0,14131,1
0,14440,1
0,14446,1
0,14478,1
0,14737,1
0,14829,1
0,15775,8
0,15839,1
5,1614,1
5,1840,1
5,3180,1
5,3411,1
5,6577,1
5,9319,1
5,14797,1
6,1187,1
6,13266,1
6,13277,1
7,3692,1
7,3888,1
7,3896,1
7,3906,1
7,4047,1
7,4128,1
7,4833,1
7,5314,1
7,5341,1
7,5426,1
7,5716,1
7,12066,1
7,13007,1
8,17,2
8,34,1
8,40,1
8,77,1
8,99,2
8,192,1
8,261,1
8,291,1
8,432,1
8,442,1
8,473,2
8,474,2
8,489,4
8,522,8
8,618,1
8,703,1
8,737,1
8,772,1
8,854,1
8,899,2
8,922,2
8,1019,1
8,1081,1
8,1101,1
8,1111,1
8,1130,1
8,1158,1
8,1174,1
8,1194,1
8,1245,1
8,1275,2
8,1481,1
8,1506,4
8,1585,1
8,1590,1
8,1672,1
8,1799,1
8,1829,1
8,2001,1
8,2014,1
8,2127,1
8,2414,1
8,2462,1
8,2574,1
8,2964,1
8,3026,1
8,3190,1
8,3220,1
8,3351,1
8,3393,1
8,3397,1
8,3638,1
8,3741,1
8,3927,1
8,3989,1
8,4001,1
8,4024,1
8,4038,1
8,5375,1
8,5401,2
8,5412,1
8,5483,1
8,5891,2
8,6588,1
8,6612,1
8,6727,1
8,6819,1
8,7448,1
8,7475,1
8,7753,2
8,8437,1
8,8457,1
8,8466,1
8,8509,1
8,8542,1
8,8562,1
8,8606,1
8,8627,1
8,8635,1
8,8809,1
8,9033,1
8,9975,1
8,10053,1
8,10344,1
8,10353,1
8,10414,1
8,10446,1
8,10476,1
8,10518,1
8,10519,1
8,10539,1
8,10542,1
8,10735,1
8,10798,1
8,10898,1
8,11103,1
8,11203,1
8,11236,1
8,11629,1
8,11816,1
8,11910,1
8,11916,1
8,11918,1
8,11975,1
8,12010,1
8,12023,1
8,12084,1
8,12101,1
8,12110,1
8,12118,2
8,12124,1
8,12165,1
8,12183,1
8,12199,1
8,12263,1
8,12328,1
8,12416,1
8,12417,2
8,12419,1
8,12435,1
8,12441,1
8,12455,1
8,12468,1
8,12471,1
8,12474,1
8,12475,1
8,12596,1
8,12641,1
8,12648,1
8,12659,1
8,12664,1
8,12761,1
8,12762,1
8,12768,2
8,12784,2
8,12805,1
8,12812,2
8,12819,1
8,12830,1
8,12845,1
8,12867,1
8,12869,1
8,12873,2
8,12879,1
8,12890,1
8,12923,2
8,12924,1
8,12930,1
8,12952,2
8,12975,2
8,13005,4
8,13007,1
8,13025,1
8,13033,1
8,13038,1
8,13050,1
8,13056,1
8,13061,2
8,13082,3
8,13099,2
8,13116,1
