srg,trg,w
0,1979,1
0,2238,1
0,2648,1
0,8615,1
0,8841,1
0,10252,1
0,11278,1
0,12564,1
0,13935,1
0,14005,1
0,14048,1
0,14413,1
0,14479,1
0,14490,1
0,14659,1
0,14749,1
0,14779,1
0,14805,1
0,14819,1
0,14840,1
0,15370,1
0,15574,1
0,15775,24
2,4163,1
2,4164,1
2,4305,1
2,4336,1
2,4395,1
2,4410,1
2,4619,1
2,4650,1
2,7134,1
2,7154,1
2,7160,1
2,7175,1
2,7213,1
2,10565,1
2,13935,1
2,13956,1
2,14492,1
2,14629,1
2,14644,1
2,14659,1
2,14664,1
2,14706,1
2,14815,1
2,14878,1
2,14982,1
2,15107,1
2,15430,1
2,15584,1
3,1450,1
3,2299,1
3,2429,1
3,6530,6
3,10428,1
3,11630,1
4,12968,1
4,12970,1
5,294,1
5,880,1
5,1471,1
5,1538,1
5,1971,1
5,2122,1
5,3706,1
5,4056,1
5,4140,1
5,5490,1
5,5823,1
5,6130,1
5,6415,1
5,6417,1
5,6788,1
5,7031,1
5,7316,1
5,7563,1
5,7654,1
5,7661,1
5,7709,1
5,7881,1
5,8912,1
5,8976,1
5,9020,1
5,9035,1
5,9165,1
5,9303,1
7,12802,1
7,13183,1
8,99,2
8,107,1
8,247,1
8,473,1
8,633,1
8,672,1
8,830,1
8,866,1
8,1093,1
8,1095,2
8,1104,1
8,1211,1
8,1343,1
8,1386,1
8,1530,1
8,1677,1
8,2100,1
8,2180,1
8,2395,1
8,2574,1
8,2577,1
8,3335,1
8,3684,1
8,3935,1
8,4081,1
8,5116,1
8,5503,1
8,5825,1
8,6152,1
8,6347,1
8,6666,1
8,7077,1
8,7274,1
8,7609,1
8,7731,1
8,9745,1
8,10327,1
8,10380,1
8,10579,1
8,10646,1
8,10647,1
8,10833,1
8,11164,1
8,12159,1
8,12434,1
8,12500,1
8,12516,1
8,12921,2
8,13005,1
8,13054,1
8,13076,1
8,13080,1
8,13082,2
8,13124,1
8,13135,1
8,13159,1
8,13206,1
8,13296,2
8,13306,1
8,13316,1
8,13355,1
8,13364,1
8,13656,1
8,13658,1
8,13659,1
8,13673,1
8,13682,1
8,13700,3
8,13711,1
8,13744,1
8,13747,1
8,13758,1
8,13833,1
8,13876,1
8,14077,1
8,14831,1
8,15110,1
8,15544,1
8,15590,1
9,99,1
9,295,1
9,489,1
9,1114,1
9,3935,1
9,6570,1
9,12113,1
9,13082,2
9,13124,1
9,13296,1
9,13560,1
9,13637,1
9,13659,1
9,13700,1
9,13833,1
10,50,1
10,634,1
10,879,1
10,1549,1
10,1732,1
10,1802,1
10,1821,1
10,1845,1
10,1881,1
10,1962,1
10,2092,1
10,2119,1
10,2138,1
10,2140,1
10,2145,1
10,2184,1
10,2463,1
10,2779,1
10,3156,1
10,3216,1
10,3292,1
10,3623,1
10,3742,1
10,3849,1
10,4036,1
10,4053,1
10,4857,1
10,4867,1
10,5013,1
10,5287,1
10,5634,1
10,5645,1
10,5661,1
10,5774,1
10,6238,1
10,6409,1
10,6604,1
10,6795,1
10,9941,1
10,10499,1
10,10647,1
10,10677,1
10,10806,1
10,10819,1
10,11353,1
12,272,1
12,1868,1
12,1896,1
12,1972,1
12,1992,1
12,2013,1
12,2166,1
12,2192,1
12,2568,1
12,3351,1
12,5977,1
12,6438,1
12,7467,1
12,7939,1
12,12418,1
12,12464,1
12,13011,1
12,13659,1
12,13711,1
12,13770,1
13,40,1
13,279,1
13,394,1
13,662,1
13,918,1
13,1024,1
13,1147,1
13,1156,1
13,1795,1
13,2438,1
13,2461,1
13,2475,1
13,3903,1
13,4008,1
13,4051,1
13,4087,1
13,4915,1
13,10135,1
13,11274,1
13,12595,1
13,12857,1
13,12904,1
13,12930,1
13,12983,1
13,13034,1
13,13048,1
13,13056,1
13,13093,1
13,13155,1
13,13167,1
13,13205,1
13,13330,1
13,13361,1
13,13656,1
13,13676,3
13,13679,1
13,13691,1
13,13692,2
13,13809,1
13,13826,1
13,13832,1
13,13866,1
13,14415,1
13,14671,1
13,14693,1
13,15567,1
15,24,1
15,158,1
15,298,1
15,329,1
15,395,1
15,413,1
15,493,1
15,498,1
15,598,1
15,661,1
15,692,1
15,782,1
15,806,1
15,1318,1
15,1385,1
15,1409,1
15,1580,1
15,1625,1
15,1633,1
15,1783,1
15,1824,1
15,1832,1
15,1834,1
15,1844,1
15,1995,1
15,2014,1
15,2036,1
15,2045,1
15,2126,1
15,2243,1
15,2390,1
15,2427,1
15,2453,3
15,2456,1
15,2477,1
15,2537,1
15,2568,1
15,2595,1
15,2643,1
15,2667,1
15,2791,1
15,2845,1
15,3163,1
15,3176,1
15,3202,1
15,3237,2
15,3300,1
15,3356,1
15,3589,1
15,4966,1
15,5362,1
15,5899,1
15,6040,1
15,6231,1
15,6328,1
15,6400,1
15,6459,1
15,6592,1
15,6617,1
15,6639,1
15,6687,1
15,6744,1
15,6906,1
15,7041,1
15,7154,1
15,7189,1
15,7668,1
15,8133,1
15,8448,1
15,8575,1
15,8697,1
15,8949,1
15,8956,1
15,8971,1
15,9040,1
15,9075,1
15,9078,1
15,9111,1
15,9148,1
15,9151,1
15,9155,1
15,9203,1
15,9331,1
15,9340,1
15,9487,1
15,9860,1
15,10102,1
15,10276,1
15,10476,1
15,10691,1
15,10708,1
15,10809,1
15,10888,1
15,11194,1
15,12413,1
15,13381,1
15,13746,1
15,15710,1
16,1299,1
16,2185,1
16,2220,1
16,2602,1
16,3335,1
16,6392,1
16,11387,1
17,77,1
17,13099,2
17,13296,2
17,13306,1
17,13316,1
17,13651,1
17,13691,1
17,13809,1
17,13858,1
17,13861,1
18,190,1
18,264,1
18,1016,1
18,1054,1
18,1179,1
18,1215,1
18,1239,1
18,1257,1
18,1803,1
18,2465,1
18,2592,1
18,2647,1
18,3128,1
18,3977,1
18,4634,1
18,4844,1
18,5391,1
18,6472,1
18,6892,1
18,10098,1
18,13003,2
18,13022,1
18,13034,1
18,13068,1
18,13106,1
18,13120,3
18,13148,1
18,13203,1
18,13254,2
18,13291,1
18,13298,1
18,13332,1
18,13381,1
18,13676,1
18,13692,2
18,13727,1
18,13812,1
18,13832,2
18,13866,2
19,222,1
19,509,1
19,536,1
19,692,1
19,718,1
19,722,1
19,766,1
19,1034,1
19,1072,1
19,1407,1
19,1588,2
19,1721,1
19,1779,1
19,1791,1
19,1817,1
19,1850,1
19,1928,1
19,1960,1
19,1966,1
19,1992,1
19,2013,1
19,2018,1
19,2048,1
19,2056,1
19,2085,1
19,2134,1
19,2138,1
19,2279,2
19,2315,1
19,2461,1
19,2468,1
19,2524,1
19,2591,1
19,2644,1
19,2903,1
19,3015,1
19,3069,1
19,3098,1
19,3250,1
19,3485,1
19,4131,1
19,4744,1
19,5927,1
19,6088,1
19,6181,1
19,6277,1
19,6482,1
19,6570,1
19,6680,1
19,7282,1
19,7608,1
19,8622,1
19,8646,1
19,8963,1
19,9220,1
19,10137,1
19,10476,1
19,10627,1
19,10797,1
19,10835,1
19,10873,1
19,11705,1
19,11924,1
19,12454,1
19,12791,1
