index,PI-positivi,PI-deceduti,PO-positivi,PO-deceduti,LI-positivi,LI-deceduti,FI-positivi,FI-deceduti,AR-positivi,AR-deceduti,PT-positivi,PT-deceduti,GR-positivi,GR-deceduti,MS-positivi,MS-deceduti,SI-positivi,SI-deceduti,LU-positivi,LU-deceduti,PI-new_positivi,PO-new_positivi,LI-new_positivi,FI-new_positivi,AR-new_positivi,PT-new_positivi,GR-new_positivi,MS-new_positivi,SI-new_positivi,LU-new_positivi
2020-02-14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
2020-02-15,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,1,0,1,0,0,0,0
2020-02-16,0,0.0,0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0
2020-02-17,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,1,0,0,0,0
2020-02-18,0,0.0,0,0.0,0,0.0,7,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,6,0,0,0,0,0,0
2020-02-19,0,0.0,0,0.0,0,0.0,5,0.0,0,0.0,1,0.0,0,0.0,1,0.0,3,0.0,1,0.0,0,0,0,0,0,0,0,1,3,1
2020-02-20,0,0.0,0,0.0,0,0.0,5,0.0,0,0.0,1,0.0,0,0.0,3,0.0,3,0.0,1,0.0,0,0,0,0,0,0,0,2,0,0
2020-02-21,0,0.0,0,0.0,0,0.0,4,0.0,1,0.0,1,0.0,0,0.0,3,0.0,3,0.0,1,0.0,0,0,0,0,1,0,0,0,0,0
2020-02-22,0,0.0,0,0.0,0,0.0,7,0.0,2,0.0,1,0.0,0,0.0,3,0.0,3,0.0,3,0.0,0,0,0,3,1,0,0,0,0,2
2020-02-23,2,0.0,1,0.0,3,0.0,12,0.0,2,0.0,1,0.0,0,0.0,4,0.0,10,0.0,3,0.0,2,1,3,5,0,0,0,1,7,0
2020-02-24,5,0.0,1,0.0,3,0.0,20,0.0,5,0.0,1,0.0,2,0.0,6,0.0,12,0.0,6,0.0,3,0,0,8,3,0,2,2,2,3
2020-02-25,8,0.0,1,0.0,5,0.0,23,0.0,7,0.0,1,0.0,2,0.0,10,0.0,14,0.0,8,0.0,3,0,2,3,2,0,0,4,2,2
2020-02-26,11,0.0,3,0.0,6,0.0,27,0.0,8,0.0,6,0.0,2,0.0,16,0.0,19,0.0,15,0.0,3,2,1,4,1,5,0,6,5,7
2020-02-27,17,0.0,3,0.0,10,0.0,39,0.0,9,0.0,13,0.0,4,0.0,21,0.0,24,0.0,26,0.0,6,0,4,12,1,7,2,5,5,11
2020-02-28,20,1.0,5,0.0,10,0.0,51,0.0,12,0.0,16,0.0,6,0.0,28,0.0,29,0.0,31,0.0,3,2,0,12,3,3,2,7,5,5
2020-02-29,31,1.0,7,0.0,14,0.0,61,0.0,13,0.0,21,0.0,10,0.0,37,0.0,33,0.0,37,0.0,11,2,4,10,1,5,4,9,4,6
2020-03-01,34,1.0,21,0.0,16,0.0,71,0.0,14,0.0,32,0.0,12,0.0,40,0.0,37,0.0,43,0.0,3,14,2,10,1,11,2,3,4,6
2020-03-02,34,1.0,25,0.0,16,0.0,86,0.0,14,0.0,43,0.0,16,0.0,40,2.0,41,0.0,49,1.0,0,4,0,15,0,11,4,0,4,6
2020-03-03,51,1.0,26,0.0,27,0.0,101,0.0,16,0.0,48,0.0,16,0.0,65,2.0,41,0.0,79,1.0,17,1,11,15,2,5,0,25,0,30
2020-03-04,62,1.0,33,0.0,40,0.0,132,0.0,27,0.0,63,1.0,31,0.0,88,2.0,58,0.0,96,1.0,11,7,13,31,11,15,15,23,17,17
2020-03-05,71,2.0,42,0.0,50,1.0,162,0.0,41,0.0,79,1.0,38,0.0,108,2.0,60,0.0,130,1.0,9,9,10,30,14,16,7,20,2,34
2020-03-06,78,2.0,45,0.0,53,2.0,186,1.0,43,0.0,90,1.0,50,0.0,117,5.0,66,1.0,138,2.0,7,3,3,24,2,11,12,9,6,8
2020-03-07,101,2.0,53,1.0,59,3.0,214,1.0,71,0.0,100,2.0,60,0.0,143,5.0,73,1.0,179,4.0,23,8,6,28,28,10,10,26,7,41
