"covidMeasure","latitude","longitude","name","province","selected","shared name"
"0","43.85180773789867","10.506207","0","PI","false","0"
"0","43.85135","10.506207","15775","LU","false","15775"
"0","43.76973","11.26562","1979","FI","false","1979"
"0","43.842884","10.503127","14479","LU","false","14479"
"0","43.853027","10.507255","12564","LU","false","12564"
"1","43.845093","10.508857","14805","LU","false","14805"
"0","43.698994","10.389265","8615","PI","false","8615"
"0","43.517822","10.31641","10252","LI","false","10252"
"0","43.961266","10.174381","14659","LU","false","14659"
"0","43.844257","10.505636","14749","LU","false","14749"
"0","43.835953","10.50354","14819","LU","false","14819"
"0","43.66403610851083","10.642186","8841","PI","false","8841"
"0","43.77317","11.250513","2238","FI","false","2238"
"0","43.77358","11.250782","2648","FI","false","2648"
"0","43.8514","10.24537","13935","LU","false","13935"
"0","43.846786","10.516378","14490","LU","false","14490"
"1","43.718437","10.401631","11278","PI","false","11278"
"0","43.875088","10.284617","14005","LU","false","14005"
"0","43.975872","10.200804","14840","LU","false","14840"
"0","43.845512","10.505946","14413","LU","false","14413"
"0","43.845272","10.510089","15574","LU","false","15574"
"0","43.823162","10.258517","14048","LU","false","14048"
"0","43.875813","10.237913","15370","LU","false","15370"
"0","43.711","10.39883","8784","PI","false","8784"
"0","43.863895","10.816916","619","PT","false","619"
"0","43.88342","10.77997","2831","PT","false","2831"
"0","43.071285","11.678958","3755","SI","false","3755"
"1","43.4668","11.044793","4056","SI","false","4056"
"1","43.46871","11.041779","4156","SI","false","4156"
"0","43.83472","10.513272","14585","LU","false","14585"
"0","43.83765","10.518111","15405","LU","false","15405"
"0","43.79558","10.58782","15507","LU","false","15507"
"0","43.90835","10.53874","15428","LU","false","15428"
"0","43.947746","10.241068","14739","LU","false","14739"
"0","43.84247","10.502061","14412","LU","false","14412"
"0","44.015987","10.155972","7146","MS","false","7146"
"1","43.936615","10.427367","14623","LU","false","14623"
"0","43.9403","10.4246","14789","LU","false","14789"
"0","43.821533","10.515035","14712","LU","false","14712"
"0","43.812897","10.486912","14826","LU","false","14826"
"0","43.810905","10.498518","15400","LU","false","15400"
"0","44.202564","10.449399","14407","LU","false","14407"
"0","44.02107","10.479986","15835","LU","false","15835"
"0","43.927834","10.316872","15561","LU","false","15561"
"0","43.97747","10.56154","13900","LU","false","13900"
"0","43.31886","11.331402","5732","SI","false","5732"
"0","43.718327","10.395427","11197","PI","false","11197"
"0","43.71779","10.4036","8578","PI","false","8578"
"0","43.67335","10.272735","8574","PI","false","8574"
"0","43.72129","10.397147","8564","PI","false","8564"
"0","43.71746","10.40165","8198","PI","false","8198"
"0","43.245876","10.533189","11645","LI","false","11645"
"1","43.67675","10.269977","9060","PI","false","9060"
"0","43.545704","10.304444","10814","LI","false","10814"
"1","43.846474","10.505427","14276","LU","false","14276"
"0","43.845963","10.504567","14411","LU","false","14411"
"0","43.722622","10.428169","8656","PI","false","8656"
"0","43.85284","10.54311","15609","LU","false","15609"
"1","43.843918","10.503004","14588","LU","false","14588"
"0","43.842777","10.510644","14778","LU","false","14778"
"0","43.934155","10.606333","13983","LU","false","13983"
"0","43.840008","10.50411","14295","LU","false","14295"
"0","43.75394","11.19118","2667","FI","false","2667"
"1","43.697544","11.049318","6918","FI","false","6918"
"0","43.77166","11.154283","6119","FI","false","6119"
"0","43.985317","10.213922","14636","LU","false","14636"
"0","43.890186","10.229925","14773","LU","false","14773"
"0","43.317974","11.335183","4107","SI","false","4107"
"0","43.850983","10.66791","14384","LU","false","14384"
"1","43.319138","11.330726","4051","SI","false","4051"
"1","43.318115","11.331602","5347","SI","false","5347"
"0","43.749","10.431367","8570","PI","false","8570"
"0","43.405533","10.409867","9924","LI","false","9924"
"1","43.71413","10.401641","11176","PI","false","11176"
"0","43.67629","10.27374","8482","PI","false","8482"
"0","43.83242","10.307222","14399","LU","false","14399"
"0","42.76602","10.398333","10077","LI","false","10077"
"0","42.765972","10.398224","10476","LI","false","10476"
"1","42.76749","10.394511","10648","LI","false","10648"
"0","42.766224","10.397889","10550","LI","false","10550"
"0","43.676723","10.322778","9576","PI","false","9576"
"0","43.668453","10.275114","8612","PI","false","8612"
"0","43.86354","10.247772","14776","LU","false","14776"
"0","43.674965","10.273197","8569","PI","false","8569"
"0","43.835457","10.419464","14822","LU","false","14822"
"0","43.790367","10.321251","8555","PI","false","8555"
"0","43.841255","10.502099","14830","LU","false","14830"
"1","43.352337","10.456839","10609","LI","false","10609"
"0","43.924824","10.202432","14372","LU","false","14372"
"0","43.718292","10.401637","8672","PI","false","8672"
"1","43.717865","10.399923","11177","PI","false","11177"
"0","43.840466","10.494893","14795","LU","false","14795"
"0","43.543118","10.313915","10598","LI","false","10598"
"1","43.83998","10.502697","14426","LU","false","14426"
"0","43.718193","10.399921","11221","PI","false","11221"
"0","43.551617","10.305278","10049","LI","false","10049"
"0","43.956314","10.231463","14108","LU","false","14108"
"0","43.84163","10.502627","14415","LU","false","14415"
"0","42.74581","10.233765","10496","LI","false","10496"
"0","42.74267","10.236128","9954","LI","false","9954"
"0","42.809196","10.193478","10488","LI","false","10488"
"0","43.85238","10.671144","14452","LU","false","14452"
"0","43.909046","11.0075","497","PT","false","497"
"0","43.803967","10.673366","15549","LU","false","15549"
"0","43.769306","11.121582","227","FI","false","227"
"0","43.874214","10.246383","14660","LU","false","14660"
"0","43.84993","10.50614","14021","LU","false","14021"
"1","43.54453","11.316404","1828","FI","false","1828"
"1","43.581474","11.109749","1972","FI","false","1972"
"1","43.46034","11.878004","12458","AR","false","12458"
"0","43.46467","11.880243","12606","AR","false","12606"
"0","43.20565","11.25293","4086","SI","false","4086"
"0","43.22425","11.228859","5500","SI","false","5500"
"0","43.549225","11.045301","2418","FI","false","2418"
"0","42.75932","10.310405","9972","LI","false","9972"
"0","42.860035","10.421053","10690","LI","false","10690"
"1","42.74703","10.37921","10789","LI","false","10789"
"0","42.63464","11.66879","13640","GR","false","13640"
"0","42.922787","10.527043","10876","LI","false","10876"
"0","43.290535","10.52815","10535","LI","false","10535"
"0","44.07281","10.484578","14427","LU","false","14427"
"1","43.845592","10.497781","14671","LU","false","14671"
"0","43.884186","10.564966","15588","LU","false","15588"
"0","43.844856","10.508024","14763","LU","false","14763"
"0","43.86507","10.25015","14115","LU","false","14115"
"0","43.8889","10.56127","14136","LU","false","14136"
"0","43.86407","10.249324","14381","LU","false","14381"
"0","43.866993","10.251187","14788","LU","false","14788"
"1","42.92415","10.52886","10568","LI","false","10568"
"0","43.858643","10.522318","14278","LU","false","14278"
"0","43.869617","10.245204","14581","LU","false","14581"
"0","44.134556","10.370731","15650","LU","false","15650"
"0","43.314194","10.514901","10584","LI","false","10584"
"0","43.059765","10.617326","10571","LI","false","10571"
"0","43.294464","10.497548","10458","LI","false","10458"
"0","43.160557","10.6075","10519","LI","false","10519"
"0","42.92188","10.527572","10582","LI","false","10582"
