id name province latitude longitude
0 0 PI 10.506207 43.85180773789867
15775 15775 LU 10.506207 43.85135
1979 1979 FI 11.26562 43.76973
14479 14479 LU 10.503127 43.842884
12564 12564 LU 10.507255 43.853027
14805 14805 LU 10.508857 43.845093
8615 8615 PI 10.389265 43.698994
10252 10252 LI 10.31641 43.517822
14659 14659 LU 10.174381 43.961266
14749 14749 LU 10.505636 43.844257
14819 14819 LU 10.50354 43.835953
8841 8841 PI 10.642186 43.66403610851083
2238 2238 FI 11.250513 43.77317
2648 2648 FI 11.250782 43.77358
13935 13935 LU 10.24537 43.8514
14490 14490 LU 10.516378 43.846786
11278 11278 PI 10.401631 43.718437
14005 14005 LU 10.284617 43.875088
14840 14840 LU 10.200804 43.975872
14413 14413 LU 10.505946 43.845512
15574 15574 LU 10.510089 43.845272
14048 14048 LU 10.258517 43.823162
15370 15370 LU 10.237913 43.875813
8784 8784 PI 10.39883 43.711
619 619 PT 10.816916 43.863895
2831 2831 PT 10.77997 43.88342
3755 3755 SI 11.678958 43.071285
4056 4056 SI 11.044793 43.4668
4156 4156 SI 11.041779 43.46871
14585 14585 LU 10.513272 43.83472
15405 15405 LU 10.518111 43.83765
15507 15507 LU 10.58782 43.79558
15428 15428 LU 10.53874 43.90835
14739 14739 LU 10.241068 43.947746
14412 14412 LU 10.502061 43.84247
7146 7146 MS 10.155972 44.015987
14623 14623 LU 10.427367 43.936615
14789 14789 LU 10.4246 43.9403
14712 14712 LU 10.515035 43.821533
14826 14826 LU 10.486912 43.812897
15400 15400 LU 10.498518 43.810905
14407 14407 LU 10.449399 44.202564
15835 15835 LU 10.479986 44.02107
15561 15561 LU 10.316872 43.927834
13900 13900 LU 10.56154 43.97747
5732 5732 SI 11.331402 43.31886
11197 11197 PI 10.395427 43.718327
8578 8578 PI 10.4036 43.71779
8574 8574 PI 10.272735 43.67335
8564 8564 PI 10.397147 43.72129
8198 8198 PI 10.40165 43.71746
11645 11645 LI 10.533189 43.245876
9060 9060 PI 10.269977 43.67675
10814 10814 LI 10.304444 43.545704
14276 14276 LU 10.505427 43.846474
14411 14411 LU 10.504567 43.845963
8656 8656 PI 10.428169 43.722622
